TCP,Date
A00002,1625
A00005,1515
A00007,1528
A00008,1623
A00011,1640
A00012,1623
A00014,1624
A00015,1607
A00018,1558
A00021,1599
A00024,1622
A00025,1613
A00026,1600
A00028,1635
A00033,1569
A00034,1622
A00044,1579
A00049,1622
A00075,1597
A00089,1640
A00091,1538
A00092,1538
A00102,1559
A00156,1624
A00157,1563
A00158,1577
A00159,1580
A00164,1626
A00171,1631
A00179,1565
A00190,1632
A00191,1571
A00193,1580
A00198,1554
A00201,1571
A00211,1635
A00214,1640
A00215,1615
A00227,1549
A00229,1567
A00230,1605
A00233,1636
A00234,1591
A00235,1635
A00249,1588
A00254,1569
A00256,1619
A00257,1566
A00259,1593
A00260,1626
A00261,1547
A00263,1603
A00265,1609
A00267,1571
A00268,1577
A00271,1589
A00275,1566
A00277,1566
A00281,1574
A00283,1584
A00285,1630
A00287,1621
A00289,1640
A00293,1640
A00301,1567
A00303,1610
A00313,1621
A00316,1542
A00320,1534
A00321,1625
A00325,1519
A00327,1550
A00329,1534
A00331,1540
A00332,1557
A00333,1606
A00338,1545
A00341,1537
A00342,1559
A00344,1532
A00350,1532
A00354,1537
A00356,1526
A00358,1531
A00361,1526
A00363,1533
A00364,1572
A00374,1545
A00375,1534
A00376,1547
A00377,1536
A00378,1529
A00380,1537
A00381,1535
A00384,1549
A00386,1534
A00387,1534
A00389,1538
A00391,1543
A00392,1533
A00393,1536
A00395,1640
A00397,1586
A00400,1579
A00401,1596
A00402,1552
A00403,1608
A00405,1611
A00408,1613
A00412,1584
A00414,1608
A00419,1616
A00423,1581
A00426,1639
A00429,1570
A00430,1609
A00437,1579
A00439,1625
A00440,1577
A00446,1564
A00448,1615
A00452,1630
A00454,1568
A00455,1565
A00457,1568
A00458,1570
A00459,1636
A00460,1602
A00461,1618
A00462,1622
A00465,1611
A00472,1583
A00475,1638
A00476,1610
A00477,1592
A00478,1635
A00483,1544
A00489,1580
A00499,1600
A00505,1591
A00508,1585
A00510,1635
A00514,1614
A00518,1589
A00519,1636
A00522,1562
A00525,1533
A00527,1606
A00535,1618
